sentence,intent,tokens,BIO_tags
hey show my bookng detfils at miraj cinemas,check_booking_status,"[""hey"", ""show"", ""my"", ""bookng"", ""detfils"", ""at"", ""miraj"", ""cinemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
where is my ticket for this weekend,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""this"", ""weekend""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
hello,greeting,"[""hello""]","[""O""]"
pls yo where is my tkt for next saturday,check_booking_status,"[""pls"", ""yo"", ""where"", ""is"", ""my"", ""tkt"", ""for"", ""next"", ""saturday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
yo is there a 2d show of avatar the way of water today,check_showtime,"[""yo"", ""is"", ""there"", ""a"", ""2d"", ""show"", ""of"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
hello,greeting,"[""hello""]","[""O""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
i need 4 tickets for leo this 27 may,book_ticket,"[""i"", ""need"", ""4"", ""tickets"", ""for"", ""leo"", ""this"", ""27"", ""may""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
look up my movie booking in delhi,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""delhi""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
um cancel the 4 seats in delhi pls,cancel_ticket,"[""um"", ""cancel"", ""the"", ""4"", ""seats"", ""in"", ""delhi"", ""pls""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
hey hey select seat c4,select_seat,"[""hey"", ""hey"", ""select"", ""seat"", ""c4""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
pls buk 6 regular tix for dune part two at wave cinemas,book_ticket,"[""pls"", ""buk"", ""6"", ""regular"", ""tix"", ""for"", ""dune"", ""part"", ""two"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo where is my tkt for 27 may,check_booking_status,"[""yo"", ""where"", ""is"", ""my"", ""tkt"", ""for"", ""27"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
yo choose vip seat a11,select_seat,"[""yo"", ""choose"", ""vip"", ""seat"", ""a11""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
please buk me 6 for tiger 3 at 1 pm,book_ticket,"[""please"", ""buk"", ""me"", ""6"", ""for"", ""tiger"", ""3"", ""at"", ""1"", ""pm""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME""]"
yo tell me the timings for top gun maverick at carnival city mall,check_showtime,"[""yo"", ""tell"", ""me"", ""the"", ""timings"", ""for"", ""top"", ""gun"", ""maverick"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
goodbye?,goodbye,"[""goodbye"", ""?""]","[""O""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
choose premium seat a10,select_seat,"[""choose"", ""premium"", ""seat"", ""a10""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
pls is there a 3d show of kalki 2898 ad today,check_showtime,"[""pls"", ""is"", ""there"", ""a"", ""3d"", ""show"", ""of"", ""kalki"", ""2898"", ""ad"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
show me the batman sessions in jaipur,search_movie,"[""show"", ""me"", ""the"", ""batman"", ""sessions"", ""in"", ""jaipur""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
pls when is jawan showing at luxe imax,check_showtime,"[""pls"", ""when"", ""is"", ""jawan"", ""showing"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
what time does tiger 3 start in hyderabad,check_showtime,"[""what"", ""time"", ""does"", ""tiger"", ""3"", ""start"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
yo is there a 3d show of top gun maverick today,check_showtime,"[""yo"", ""is"", ""there"", ""a"", ""3d"", ""show"", ""of"", ""top"", ""gun"", ""maverick"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
choose premium seat c3,select_seat,"[""choose"", ""premium"", ""seat"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey where is my ticket for 26 may,check_booking_status,"[""hey"", ""where"", ""is"", ""my"", ""ticket"", ""for"", ""26"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
yo,greeting,"[""yo""]","[""O""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
hey plz refnd my booking for this weekend,cancel_ticket,"[""hey"", ""plz"", ""refnd"", ""my"", ""booking"", ""for"", ""this"", ""weekend""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
tell me the timings for barbie at carnval city mall,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""barbie"", ""at"", ""carnval"", ""city"", ""mall""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
um is barbie playing near chennai,search_movie,"[""um"", ""is"", ""barbie"", ""playing"", ""near"", ""chennai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
show me showtimes for spider man no way home on 27 may,check_showtime,"[""show"", ""me"", ""showtimes"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""on"", ""27"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
pls where is my ticket for today,check_booking_status,"[""pls"", ""where"", ""is"", ""my"", ""ticket"", ""for"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
yo can u book bagbie for 1 people,book_ticket,"[""yo"", ""can"", ""u"", ""book"", ""bagbie"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
yo i want c4 for the show,select_seat,"[""yo"", ""i"", ""want"", ""c4"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
hello,greeting,"[""hello""]","[""O""]"
hey what movies like top gun maverick are running in bengaluru,search_movie,"[""hey"", ""what"", ""movies"", ""like"", ""top"", ""gun"", ""maverick"", ""are"", ""running"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
um is there a imax show of oppenheimer today,check_showtime,"[""um"", ""is"", ""there"", ""a"", ""imax"", ""show"", ""of"", ""oppenheimer"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
pick vip seats near c3,select_seat,"[""pick"", ""vip"", ""seats"", ""near"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
reserve 4 regular seats in ahmedabad,book_ticket,"[""reserve"", ""4"", ""regular"", ""seats"", ""in"", ""ahmedabad""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
what movies like oppenheimer are running in ahmedabad,search_movie,"[""what"", ""movies"", ""like"", ""oppenheimer"", ""are"", ""running"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
when is jawan showing at inox city center,check_showtime,"[""when"", ""is"", ""jawan"", ""showing"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
give me recliner around b7,select_seat,"[""give"", ""me"", ""recliner"", ""around"", ""b7""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey look up my movi booking in mumbai,check_booking_status,"[""hey"", ""look"", ""up"", ""my"", ""movi"", ""booking"", ""in"", ""mumbai""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
yo i want to cancel tickets for tiger 3 today,cancel_ticket,"[""yo"", ""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""tiger"", ""3"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
yo drop my reservatin at inox city center,cancel_ticket,"[""yo"", ""drop"", ""my"", ""reservatin"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
bye and thans,goodbye,"[""bye"", ""and"", ""thans""]","[""O"", ""O"", ""O""]"
pls is the batman playing near kolkata,search_movie,"[""pls"", ""is"", ""the"", ""batman"", ""playing"", ""near"", ""kolkata""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
tell me the timings for top gun maverick at raj mandir?,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""top"", ""gun"", ""maverick"", ""at"", ""raj"", ""mandir"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
hello,greeting,"[""hello""]","[""O""]"
pls can u book kalki 2898 ad for 1 people,book_ticket,"[""pls"", ""can"", ""u"", ""book"", ""kalki"", ""2898"", ""ad"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
pls drop my reservation at luxe imax,cancel_ticket,"[""pls"", ""drop"", ""my"", ""reservation"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo book 6 balcony tix for kalvi 2898 ad at cinepois central,book_ticket,"[""yo"", ""book"", ""6"", ""balcony"", ""tix"", ""for"", ""kalvi"", ""2898"", ""ad"", ""at"", ""cinepois"", ""central""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo look up my movie booking in pune,check_booking_status,"[""yo"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""pune""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
please refund my booking for this weekend,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""this"", ""weekend""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
show me dune part two sessions in delhi,search_movie,"[""show"", ""me"", ""dune"", ""part"", ""two"", ""sessions"", ""in"", ""delhi""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
um give me vip around b12,select_seat,"[""um"", ""give"", ""me"", ""vip"", ""around"", ""b12""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
hey coose prqmium seat a10,select_seat,"[""hey"", ""coose"", ""prqmium"", ""seat"", ""a10""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
i want to cncl tickets for leo todcy,cancel_ticket,"[""i"", ""want"", ""to"", ""cncl"", ""tickets"", ""for"", ""leo"", ""todcy""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
pls drop my reservation at wave cinemas,cancel_ticket,"[""pls"", ""drop"", ""my"", ""reservation"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
show me showtimes for avatar the way of water on 25 may,check_showtime,"[""show"", ""me"", ""showtimes"", ""for"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""on"", ""25"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
pls find dune part two in delhi,search_movie,"[""pls"", ""find"", ""dune"", ""part"", ""two"", ""in"", ""delhi""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
um what movies like leo are running in pune,search_movie,"[""um"", ""what"", ""movies"", ""like"", ""leo"", ""are"", ""running"", ""in"", ""pune""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
yo hey where is my tkt for this evening,check_booking_status,"[""yo"", ""hey"", ""where"", ""is"", ""my"", ""tkt"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
um is there a imax show of dune part two today,check_showtime,"[""um"", ""is"", ""there"", ""a"", ""imax"", ""show"", ""of"", ""dune"", ""part"", ""two"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
what muvies like jawan are running in jaipur,search_movie,"[""what"", ""muvies"", ""like"", ""jawan"", ""are"", ""running"", ""in"", ""jaipur""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
yo i need 5 tickets for oppenheimer this this evening,book_ticket,"[""yo"", ""i"", ""need"", ""5"", ""tickets"", ""for"", ""oppenheimer"", ""this"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
yo please refund my booking for this evening,cancel_ticket,"[""yo"", ""please"", ""refund"", ""my"", ""booking"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
thx bye,goodbye,"[""thx"", ""bye""]","[""O"", ""O""]"
pls i need 3 tickets for dune part two this today,book_ticket,"[""pls"", ""i"", ""need"", ""3"", ""tickets"", ""for"", ""dune"", ""part"", ""two"", ""this"", ""today""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE""]"
plz book me 1 for tiger 3 at 5 pm,book_ticket,"[""plz"", ""book"", ""me"", ""1"", ""for"", ""tiger"", ""3"", ""at"", ""5"", ""pm""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME""]"
um check my bookig status for jawan?,check_booking_status,"[""um"", ""check"", ""my"", ""bookig"", ""status"", ""for"", ""jawan"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME""]"
choose reclner seat b7 thx,select_seat,"[""choose"", ""reclner"", ""seat"", ""b7"", ""thx""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
yo book 1 recliner tickets for interstellar at inox city center,book_ticket,"[""yo"", ""book"", ""1"", ""recliner"", ""tickets"", ""for"", ""interstellar"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
yo can u book leo for 1 people,book_ticket,"[""yo"", ""can"", ""u"", ""book"", ""leo"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
tat's all thx,goodbye,"[""tat's"", ""all"", ""thx""]","[""O"", ""O"", ""O""]"
tell me the timings for barbie at wave ciemas,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""barbie"", ""at"", ""wave"", ""ciemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
hey please refund my booking for next friday,cancel_ticket,"[""hey"", ""please"", ""refund"", ""my"", ""booking"", ""for"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
pls book 1 vip tickets for leo at miraj cinemas,book_ticket,"[""pls"", ""book"", ""1"", ""vip"", ""tickets"", ""for"", ""leo"", ""at"", ""miraj"", ""cinemas""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo i want a11 for the show,select_seat,"[""yo"", ""i"", ""want"", ""a11"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
thanks bye,goodbye,"[""thanks"", ""bye""]","[""O"", ""O""]"
yo,greeting,"[""yo""]","[""O""]"
pls hey there,greeting,"[""pls"", ""hey"", ""there""]","[""O"", ""O""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
book 6 recliner tickets for avatar the way of water at carnival city mall,book_ticket,"[""book"", ""6"", ""recliner"", ""tickets"", ""for"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
what movies like top gun maverick are running in ahmedabad,search_movie,"[""what"", ""movies"", ""like"", ""top"", ""gun"", ""maverick"", ""are"", ""running"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
give me vip around b12,select_seat,"[""give"", ""me"", ""vip"", ""around"", ""b12""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
show my booking details at raj mandir,check_booking_status,"[""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo is there a 3d show of jawan today,check_showtime,"[""yo"", ""is"", ""there"", ""a"", ""3d"", ""show"", ""of"", ""jawan"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
um book 3 regular tickets for top gun maverick at inox city center,book_ticket,"[""um"", ""book"", ""3"", ""regular"", ""tickets"", ""for"", ""top"", ""gun"", ""maverick"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
select seat a10,select_seat,"[""select"", ""seat"", ""a10""]","[""O"", ""O"", ""B-SEAT_NUMBER""]"
pick recliner seats near d8,select_seat,"[""pick"", ""recliner"", ""seats"", ""near"", ""d8""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
pls can u book jawan for 6 pople,book_ticket,"[""pls"", ""can"", ""u"", ""book"", ""jawan"", ""for"", ""6"", ""pople""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
cancel my tiger 3 booking at pvr nexus mall,cancel_ticket,"[""cancel"", ""my"", ""tiger"", ""3"", ""booking"", ""at"", ""pvr"", ""nexus"", ""mall""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
pls book 3 balcony tickets for the batman at wave cinemas,book_ticket,"[""pls"", ""book"", ""3"", ""balcony"", ""tickets"", ""for"", ""the"", ""batman"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
give me premium around c4,select_seat,"[""give"", ""me"", ""premium"", ""around"", ""c4""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
i need 4 tickets for jawan this tomorrow,book_ticket,"[""i"", ""need"", ""4"", ""tickets"", ""for"", ""jawan"", ""this"", ""tomorrow""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
drop my reservation at raj mandir,cancel_ticket,"[""drop"", ""my"", ""reservation"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
pls find dune part two in chennai,search_movie,"[""pls"", ""find"", ""dune"", ""part"", ""two"", ""in"", ""chennai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
hey show me showtimes for top gun maverick on 25 may,check_showtime,"[""hey"", ""show"", ""me"", ""showtimes"", ""for"", ""top"", ""gun"", ""maverick"", ""on"", ""25"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
hey good mornng,greeting,"[""hey"", ""good"", ""mornng""]","[""O"", ""O""]"
look up my movie booking in bengaluru,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
hey any english movies in kochi,search_movie,"[""hey"", ""any"", ""english"", ""movies"", ""in"", ""kochi""]","[""O"", ""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
show me kalki 2898 ad sessions in chennai,search_movie,"[""show"", ""me"", ""kalki"", ""2898"", ""ad"", ""sessions"", ""in"", ""chennai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
pls i want to cncl tickets for oppenhdimer today,cancel_ticket,"[""pls"", ""i"", ""want"", ""to"", ""cncl"", ""tickets"", ""for"", ""oppenhdimer"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
pls look up my movie booking in jaipur,check_booking_status,"[""pls"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""jaipur""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
